name,playerid,nationality,dob,batstyle,bowlstyle,cricinfo_id
Angus Blake,10800081,Vanuatu,1996-04-03,,,524286
Lann Nguyen Ngoc,10900012,Vietnam,1995-03-06,Right-hand bat,Right-arm medium-fast,1116769
Adron Rahim,11201446,West Indies,1971-01-25,Right-hand bat,Right-arm offbreak,52828
Steven Lynch,10800098,Vanuatu,1990-06-14,Right-hand bat,Right-arm fast,420514
Vincent Matautaava,10800101,Vanuatu,2002-10-15,,Right-arm offbreak,1186247
Wolford Kalworai,10800103,Vanuatu,1990-10-01,Right-hand bat,Right-arm medium,420509
Silou Delarue,10800097,Vanuatu,1988-04-04,Left-hand bat,Left-arm medium,302867
Karl Laau,10800091,Vanuatu,1989-10-17,Right-hand bat,,420506
Zeyad Imtiaz,10700465,United States of America,1984-06-17,Right-hand bat,Right-arm medium,770329
Johanna Sokomanu,10800088,Vanuatu,1994-04-16,Left-hand bat,,1093509
Dang Le Hoang,10900009,Vietnam,1992-10-27,Right-hand bat,,1116761
Afya Campbell,11201448,West Indies,1985-12-04,Right-hand bat,,474316
Lai Nguyen Viet,10900011,Vietnam,1992-03-20,Right-hand bat,Right-arm medium-fast,1116766
Shem Sala,10800096,Vanuatu,1992-04-02,Right-hand bat,Right-arm medium,524282
Callum Blake,10800084,Vanuatu,1994-07-03,Right-hand bat,Right-arm medium,524269
Xavier Marshall,10700463,United States of America,1986-03-27,Right-hand bat,Right-arm offbreak,52626
Akeel Seetal,11201454,West Indies,1997-07-03,Right-hand bat,Right-arm medium-fast,820687
Ravin Arutam,10800095,Vanuatu,1994-07-20,Right-hand bat,,524278
Wesley Viraliliu,10800102,Vanuatu,1999-01-16,Right-hand bat,Right-arm medium-fast,1082732
Ahmed Proverbs,11201451,West Indies,1970-01-28,Right-hand bat,Right-arm medium,52719
Hoang Mai Tuan,10900010,Vietnam,1994-11-05,Left-hand bat,Slow left-arm orthodox,1116764
Jelany Chilia,10800087,Vanuatu,1991-10-29,Right-hand bat,Right-arm offbreak,420508
Merial Kenni,10800093,Vanuatu,1997-07-10,Right-hand bat,,1093507
Akaze Thompson,11201452,West Indies,1992-10-21,Right-hand bat,Right-arm medium,530210
Darren Wotu,10800085,Vanuatu,1998-06-19,Right-hand bat,Right-arm medium,1193343
Thao Le Tien,10900014,Vietnam,1992-11-12,Right-hand bat,Right-arm medium-fast,1116770
Trevor Langa,10800099,Vanuatu,1989-06-30,Right-hand bat,,302700
Aria Fortune,11201472,West Indies,1992-01-21,Right-hand bat,Right-arm medium-fast,474331
Bertram Stapleton,11201486,West Indies,1970-10-19,Right-hand bat,Right-arm offbreak,52975
Charlene Taitt,11201504,West Indies,1984-09-02,Right-hand bat,Right-arm offbreak,355358
Akeem  Saunders,11201455,West Indies,1994-06-17,Right-hand bat,,348055
Carlos Maynard,11201497,West Indies,1995-01-24,Left-hand bat,,1134434
Brian Stephney,11201493,West Indies,1983-10-12,Right-hand bat,Legbreak googly,53127
Audley Alexander,11201478,West Indies,1991-10-10,Left-hand bat,Slow left-arm orthodox,1072980
Brendalie Alcide,11201491,West Indies,1973-06-03,Right-hand bat,Legbreak,578115
Andrew Eusebe,11201468,West Indies,1985-03-05,Right-hand bat,Right-arm medium,333024
Balty Watt,11201482,West Indies,1975-04-12,Right-hand bat,Right-arm medium,53242
Antonio Thomas,11201471,West Indies,1982-10-21,Right-hand bat,Right-arm fast,53188
Alvin Prospere,11201461,West Indies,1975-03-18,Right-hand bat,Right-arm medium,252944
Chad Williams,11201501,West Indies,1995-11-28,Right-hand bat,Slow left-arm orthodox,821101
Amir Khan,11201464,West Indies,1992-09-03,Right-hand bat,Legbreak googly,348057
Amanjah Morris,11201463,West Indies,1993-06-15,Right-hand bat,,760465
Balchan Baldeo,11201481,West Indies,1997-04-09,Right-hand bat,,914521
Avidesh Samaroo,11201479,West Indies,1978-01-22,Right-hand bat,Slow left-arm unorthodox,52965
Calvin Belgrave,11201495,West Indies,1970-11-02,Right-hand bat,Right-arm fast,51285
Chrishna Graham,11201506,West Indies,1992-10-04,Right-hand bat,Right-arm medium,760469
Chaim Holder,11201502,West Indies,1994-05-17,Right-hand bat,Right-arm offbreak,605042
Annica Andrew,11201469,West Indies,1987-05-29,Left-hand bat,Left-arm medium,530131
Tauqueer Sardar,2600104,Czech Republic,1994-04-11,Right-hand bat,Right-arm medium,95014
Atticus Browne,11201477,West Indies,1991-12-12,Left-hand bat,Right-arm offbreak,505722
Bryan Boodram,11201494,West Indies,1997-09-16,Left-hand bat,Slow left-arm unorthodox,914449
Asif Hooper,11201475,West Indies,1993-06-15,Left-hand bat,Right-arm medium,1223315
Ben Boulton-Smith,3009228,England,2000-08-23,Right-hand bat,Right-arm medium,77792
Sudesh Wickramasekara,9505781,Sri Lanka,1982-07-21,Right-hand bat,Right-arm medium,73090
James Flottow,9207139,South Africa,2000-10-17,Right-hand bat,Right-arm medium,94859
Mohammed Ajmal,10603880,United Arab Emirates,1994-12-30,Right-hand bat,Right-arm medium-fast,78835
Lal Mohan,2600108,Czech Republic,1987-04-26,Right-hand bat,,78564
Ghulam Farid,7505830,Pakistan,1985-10-02,Right-hand bat,Right-arm medium,8823100
Muhammad Sadiq,10603882,United Arab Emirates,2005-06-06,Right-hand bat,,8823102
Shamim Ali,10603884,United Arab Emirates,1994-05-28,Right-hand bat,Right-arm medium-fast,8823105
Muhammed Zameer,7505831,Pakistan,1993-12-29,Right-hand bat,Slow left-arm orthodox,21000310
Wahab,7505832,Pakistan,1993-11-03,Right-hand bat,Right-arm fast,21000311
Donovan Sinclair,11201545,West Indies,1985-08-13,Right-hand bat,Legbreak,314621
Damion Jacobs,11201525,West Indies,1985-02-15,Right-hand bat,Legbreak,726101
Colin Stuart,11201516,West Indies,1973-09-28,Right-hand bat,Right-arm fast-medium,52960
Clifford Fanis,11201509,West Indies,1979-07-04,,,333023
Clive Andries,11201511,West Indies,1988-12-09,Right-hand bat,Right-arm offbreak,314645
Clea Hoyte,11201508,West Indies,1981-08-09,Right-hand bat,Right-arm offbreak,55180
Damani Sewell,11201523,West Indies,1994-08-21,Right-hand bat,Right-arm offbreak,1079168
Daniel St Clair,11201528,West Indies,1987-12-22,Right-hand bat,Left-arm medium,803931
Raja Gohar,7505850,Pakistan,1997-09-18,Right-hand bat,Right-arm medium,95061
Hafeez Ullah,7505851,Pakistan,1987-10-10,Right-hand bat,Right-arm offbreak,86306
Michalis Tavlaridis,2600107,Czech Republic,1985-09-12,Right-hand bat,Right-arm slow,95139
Alleyn Prospere,11201460,West Indies,1979-10-10,Right-hand bat,Right-arm offbreak,252945
Chandrapaul Hemraj,11201503,West Indies,1993-09-03,Left-hand bat,Slow left-arm orthodox,530811
Daniel Beckford,11201527,West Indies,2002-04-04,Left-hand bat,Left-arm medium,1209189
Adnan Khan,10603883,United Arab Emirates,1994-05-28,Right-hand bat,,8823104
Amjad Aziz,7505858,Pakistan,2000-03-16,Right-hand bat,Right-arm medium,14580
Asanka Welligamage,9505782,Sri Lanka,1984-02-26,Right-hand bat,Right-arm medium,14582
Ishanka Meddwattha,9505783,Sri Lanka,1984-09-09,Right-hand bat,Right-arm fast,14584
Kalum Akurugoda,4300027,Hungary,1991-05-21,Right-hand bat,Right-arm fast,14585
Omer Zahid,7505860,Pakistan,1987-11-25,Right-hand bat,Right-arm medium,14587
Denville McKenzie,11201540,West Indies,1975-12-04,Right-hand bat,Right-arm fast,52503
Dwayne Elgin,11201548,West Indies,1976-03-10,Right-hand bat,Right-arm medium,252907
Debbie-Ann Lewis,11201536,West Indies,1969-08-07,Right-hand bat,Right-arm medium,55166
Derrick Bishop,11201541,West Indies,1983-12-17,Right-hand bat,Slow left-arm orthodox,51449
Dane Weston,11201526,West Indies,1973-02-02,Right-hand bat,Right-arm fast,53272
Denroy Charles,11201539,West Indies,1984-10-08,Right-hand bat,Right-arm offbreak,254656
Abdul Mannan,7505862,Pakistan,1989-09-17,Right-hand bat,Right-arm medium,1269189
Abdul Rehman,7505863,Pakistan,1997-11-16,Right-hand bat,Right-arm slow,1269190
Amin Anas,7505864,Pakistan,1998-12-23,Right-hand bat,Right-arm offbreak,1269194
Danish Sayed,7505865,Pakistan,1987-11-30,Right-hand bat,Right-arm offbreak,1269195
Arsalan Javed,10603893,United Arab Emirates,1990-09-05,Left-hand bat,Left-arm medium-fast,432500
Gaurang Talreja,7505867,Pakistan,1991-04-11,Left-hand bat,Right-arm medium,1269197
Sheharyar Arif,7505868,Pakistan,2000-02-18,Right-hand bat,Right-arm offbreak,1269199
Tonmoy Gomes,801813,Bangladesh,1996-12-10,Left-hand bat,Left-arm medium,1269201
Yug Sharma,10603909,United Arab Emirates,2007-04-06,Left-hand bat,Left-arm medium-fast,1269217
Muhammad Amin Khan,10603901,United Arab Emirates,2003-07-08,,,100142
Nisar Ahmad,10603902,United Arab Emirates,1992-01-01,Right-hand bat,Right-arm medium,100126
Luqman Hazrat,10603900,United Arab Emirates,1990-03-10,,,432621
Dave Marshall,11201532,West Indies,1972-05-24,Right-hand bat,Legbreak googly,52443
Harsh Bobade,10603891,United Arab Emirates,2002-10-20,Right-hand bat,Right-arm medium,100122
Satyadeep Ashwathnarayana,4300025,Hungary,1989-10-26,Right-hand bat,Right-arm medium,80516
Danyal Akbar,7505859,Pakistan,1999-07-02,Right-hand bat,Right-arm offbreak,14583
Usman Muhammad,7505855,Pakistan,1998-09-14,Right-hand bat,Right-arm medium-fast,89134
Obaid Ur Rehman,7505854,Pakistan,1999-03-08,Right-hand bat,Right-arm medium,69862
Colin Archibald,11201515,West Indies,1996-10-20,Left-hand bat,Left-arm fast-medium,914577
Tejendra Valivarthi,4300029,Hungary,1991-12-04,Right-hand bat,Right-arm offbreak,95302
Craig Emmanuel,11201519,West Indies,1985-09-09,Right-hand bat,Right-arm medium-fast,51787
Clifton Folkes,11201510,West Indies,1970-09-16,Right-hand bat,Right-arm fast-medium,51809
Sajjad Malook,10603888,United Arab Emirates,1985-05-05,Right-hand bat,Right-arm medium-fast,8823109
Gill Shamsher,500086,Austria,1987-12-10,,,6661008
Ganesh Sekhar,500091,Austria,1988-09-15,,,6661013
Sunny Bains,500094,Austria,1986-10-13,,,6661016
Rohail Naeem,500095,Austria,2006-02-03,,,6662001
Umer Gujjar,500099,Austria,1982-06-08,,,6662005
Kamran Naeem,500100,Austria,1986-03-04,,,6662006
Mohamad Naseri,500101,Austria,1997-08-06,,,6662007
Henry Austin,11201612,West Indies,1972-10-31,Right-hand bat,Right-arm fast-medium,51130
Devon Smith,11201542,West Indies,1981-10-21,Left-hand bat,Right-arm offbreak,52962
Dwayne Smith,11201549,West Indies,1983-04-12,Right-hand bat,Right-arm medium,53118
Inzirgul Ahmadzai,500079,Austria,1984-01-01,Right-hand bat,Right-arm medium,6661001
Farhaan Mohideen,500115,Austria,2001-09-11,Right-hand bat,Right-arm offbreak,80415
Jamil Bahramkhil,500088,Austria,1990-01-01,Right-hand bat,,6661010
Khitab Omari,500087,Austria,2004-02-10,Right-hand bat,Right-arm fast,6661009
Sumer Shergil,500093,Austria,1990-07-13,Right-hand bat,Right-arm fast-medium,6661015
Gordon Bryan,11201594,West Indies,1992-06-03,Right-hand bat,Right-arm fast-medium,1135734
Adnannaser Naseri,500096,Austria,1997-01-01,Right-hand bat,Right-arm fast,6662002
Gillon Tyson,11201589,West Indies,1997-02-09,Right-hand bat,Right-arm fast,1152684
Greg Francois,11201597,West Indies,1981-03-11,Right-hand bat,,322047
Goldwyn Prince,11201593,West Indies,1974-06-18,Right-hand bat,Right-arm fast,52691
Gibran Mohammed,11201588,West Indies,1983-07-31,Left-hand bat,,52619
Gemma Bridgette,11201581,West Indies,1986-05-05,Right-hand bat,Right-arm medium,769481
Heidi Sandiford,11201610,West Indies,1990-12-22,Right-hand bat,,474217
Glen Robinson,11201590,West Indies,1971-06-28,Right-hand bat,Slow left-arm orthodox,52845
Fabian Forbes,11201568,West Indies,1983-06-10,Right-hand bat,Right-arm medium-fast,252895
Garcha Blair,11201576,West Indies,1976-01-20,Right-hand bat,Left-arm fast-medium,252854
Eon Hooper,11201564,West Indies,1991-07-01,Right-hand bat,Right-arm offbreak,1065661
Elvin Berridge,11201562,West Indies,1989-02-11,Right-hand bat,Slow left-arm orthodox,333061
Haysel Charlery,11201609,West Indies,1987-09-12,Right-hand bat,Right-arm offbreak,333476
Francis Maurice,11201572,West Indies,1969-12-25,Right-hand bat,Right-arm offbreak,52500
Felix Auguiste,11201570,West Indies,1982-09-10,,,656361
Geneille Greaves,11201582,West Indies,1983-02-21,Right-hand bat,Right-arm offbreak,55148
Garvin Nedd,11201577,West Indies,1972-07-21,Right-hand bat,Right-arm offbreak,52637
Greg Stanley,11201600,West Indies,1976-04-18,Right-hand bat,,252934
Grisean Grant,11201601,West Indies,1997-05-13,Right-hand bat,Right-arm medium,914569
Fernix Thomas,11201571,West Indies,1980-09-26,Right-hand bat,Right-arm fast,53147
Emmanuel Lett,11201563,West Indies,1993-06-05,Right-hand bat,Right-arm offbreak,530813
Harwood Williams,11201608,West Indies,1970-01-17,Right-hand bat,Right-arm medium,53271
Frank Monzack,11201573,West Indies,1969-11-04,Right-hand bat,Slow left-arm orthodox,52620
Wali Khan,500132,Austria,1992-01-12,,,95248
Sadiq Muhammad,500130,Austria,1983-03-14,Right-hand bat,Right-arm offbreak,79657
Gem Eloi,11201580,West Indies,1992-05-30,Right-hand bat,,578119
Janan Ghelzai,500117,Austria,2000-07-10,Right-hand bat,Right-arm offbreak,95216
Himanshu Jha,500116,Austria,1980-01-04,Right-hand bat,Right-arm slow,79436
Hyron Shallow,11201627,West Indies,1982-09-24,Right-hand bat,Right-arm offbreak,53125
Javon Charles,11201649,West Indies,1989-01-28,Right-hand bat,Right-arm fast-medium,623596
Ian Tittle,11201629,West Indies,1973-10-28,Left-hand bat,Right-arm medium,53187
Jamie Merchant,11201640,West Indies,1989-07-13,Right-hand bat,Right-arm offbreak,551747
Holly Charles,11201622,West Indies,1991-06-11,Left-hand bat,Right-arm fast-medium,769407
James McDonald,11201639,West Indies,1994-06-22,Right-hand bat,,760475
Jason Campbell,11201646,West Indies,1985-11-30,Left-hand bat,Slow left-arm orthodox,468778
Howard Harris,11201623,West Indies,1970-11-13,Right-hand bat,,52102
Hezron Lawrence,11201618,West Indies,1980-03-14,Right-hand bat,Slow left-arm orthodox,52367
Jacqueline Williams,11201635,West Indies,1976-03-04,,,929273
Jean Paul,11201652,West Indies,1985-11-13,Right-hand bat,Right-arm medium,52798
Buset Omari,500131,Austria,2006-03-15,Right-hand bat,,95247
Rakesh Banga,5200131,Italy,1990-12-22,Right-hand bat,Right-arm offbreak,375055
Divith Wijesekara,500135,Austria,1999-08-28,,,95258
Ahsan Akram,7505873,Pakistan,1989-03-04,Right-hand bat,Right-arm fast,375058
Amin Mubashir,7505874,Pakistan,1985-09-18,Right-hand bat,Right-arm offbreak,375060
Ansar Mahmood,7505876,Pakistan,1976-03-03,Right-hand bat,Right-arm offbreak,375062
Joel Simmonds,11201664,West Indies,1976-01-27,Right-hand bat,,53002
John Maynard,11201668,West Indies,1969-05-18,Right-hand bat,Right-arm fast,52501
Jamie Trenchfield,11201641,West Indies,1987-11-23,Left-hand bat,Right-arm offbreak,278031
Jason Bennett,11201645,West Indies,1982-10-08,Right-hand bat,Right-arm fast-medium,51443
Ian Boyce,11201628,West Indies,1996-11-08,Right-hand bat,Right-arm offbreak,906747
Ahtasham Javaid,5200132,Italy,1994-08-20,Right-hand bat,Right-arm medium,375059
Naveed Hussain,500134,Austria,1996-02-03,Right-hand bat,Right-arm medium,95237
Jerome Jones,11201659,West Indies,1995-01-26,Right-hand bat,Left-arm medium,510824
Adnan Haider,500133,Austria,1993-04-26,Right-hand bat,Right-arm slow,95236
Jeremy Haywood,11201654,West Indies,1998-12-21,Right-hand bat,Right-arm offbreak,1223333
Javier Spencer,11201648,West Indies,2000-03-28,Right-hand bat,Left-arm medium,1078698
Keifer Prospere,11201696,West Indies,1984-11-05,Right-hand bat,Right-arm medium,252941
Jaspal Ram,5200152,Italy,2001-12-05,Right-hand bat,Right-arm fast,375100
Jasvir Kumar,5200153,Italy,1995-12-10,Right-hand bat,Right-arm fast,375101
Monu Lal,5200155,Italy,1995-02-09,Right-hand bat,Right-arm medium,375103
Parveen Kumar,5200156,Italy,2000-06-20,Right-hand bat,Right-arm fast,375104
Keith Carty,11201698,West Indies,1978-04-26,Right-hand bat,Right-arm medium,252901
Junie Mitchum,11201685,West Indies,1973-11-22,Right-hand bat,Right-arm offbreak,52510
Julia Simon,11201683,West Indies,1995-10-28,Right-hand bat,Right-arm medium,578113
Karla Cotein,11201692,West Indies,1982-05-10,Right-hand bat,Right-arm fast-medium,769419
Kadeem Phillip,11201689,West Indies,1989-11-25,Left-hand bat,Slow left-arm orthodox,468223
Jon-Ross Campbell,11201671,West Indies,1990-07-09,Right-hand bat,Right-arm offbreak,449343
Keddy Lesporis,11201695,West Indies,1988-12-27,Right-hand bat,Right-arm offbreak,333071
Kelbert Walters,11201700,West Indies,1990-12-04,Right-hand bat,Right-arm medium,252836
Isaiah Rajah,11201634,West Indies,1993-10-16,Left-hand bat,Legbreak,1066826
Jeremy Solozano,11201656,West Indies,1995-10-05,Left-hand bat,,632168
Hardeep Singh,5200130,Italy,1987-08-25,Right-hand bat,Right-arm fast,375050
Farhan Javaid,7505877,Pakistan,1992-10-06,Right-hand bat,Right-arm medium,375063
Majid Tufail,7505878,Pakistan,1982-03-06,Right-hand bat,Right-arm medium,375065
Jorawar Singh,5200154,Italy,1997-10-04,Right-hand bat,Right-arm offbreak,375102
Kejel Tyson,11201699,West Indies,1990-10-26,Right-hand bat,Right-arm offbreak,333053
Kingsley Rock,11201716,West Indies,1937-12-19,Right-hand bat,Right-arm offbreak,52894
Joseph Parillon,11201672,West Indies,1979-01-04,Right-hand bat,Right-arm offbreak,52712
Karla Cohen,11201691,West Indies,1982-05-10,Right-hand bat,Right-arm fast-medium,474193
Jurnel Turner,11201687,West Indies,1989-11-23,Left-hand bat,Slow left-arm orthodox,333054
Kevin McClean,11201709,West Indies,1988-01-24,Left-hand bat,Right-arm fast,340317
Kevin James,11201708,West Indies,1987-12-09,Left-hand bat,Right-arm medium-fast,333338
Kabris Warner,11201688,West Indies,1998-01-16,Left-hand bat,Right-arm offbreak,914607
John Sylvester,11201670,West Indies,1969-10-06,Right-hand bat,,53001
Irfan Shaikh,5200151,Italy,1986-04-20,Right-hand bat,Right-arm offbreak,375098
Junior Jervier,11201686,West Indies,1990-07-24,Right-hand bat,Right-arm offbreak,450073
Kemol Savory,11201701,West Indies,1996-09-27,Left-hand bat,,677075
Jeremy Layne,11201655,West Indies,1998-11-26,Right-hand bat,Right-arm medium,1223338
Kian Pemberton,11201713,West Indies,1999-09-15,Right-hand bat,Right-arm fast,1131648
Kevin Stoute,11201711,West Indies,1985-11-12,Right-hand bat,Right-arm medium-fast,275189
Bilal Hussain,7505894,Pakistan,1987-10-30,Right-hand bat,Right-arm fast,89097
Khurram Shahzad,7505896,Pakistan,1981-12-01,Right-hand bat,Right-arm medium,85502
Fida Hussain,5200183,Italy,1988-06-10,Right-hand bat,Right-arm slow,72241
Haseeb Abdul,7505898,Pakistan,1998-10-28,Right-hand bat,Right-arm fast,89117
Mali Richards,11201756,West Indies,1983-09-02,Left-hand bat,Right-arm medium,52915
Lashuna Toussaint,11201733,West Indies,1994-12-20,Right-hand bat,,769415
Marlon Graham,11201762,West Indies,1978-09-27,,,52039
M Blagrove,11201770,West Indies,1973-03-28,,,51289
Leon Lake,11201746,West Indies,1975-05-31,Left-hand bat,Legbreak googly,252842
Marvin Noel,11201766,West Indies,1986-01-06,Right-hand bat,Right-arm medium,52666
Larry Joseph,11201732,West Indies,1985-04-01,Right-hand bat,Right-arm offbreak,52278
Matthew Sinclair,11201768,West Indies,1980-01-26,Right-hand bat,,52964
Leonardo Friginette,11201741,West Indies,1996-12-11,Left-hand bat,,914557
Mark Burnett,11201759,West Indies,1970-11-12,Right-hand bat,Right-arm fast-medium,51296
Leon Garrick,11201744,West Indies,1976-11-11,Right-hand bat,Right-arm medium,51877
Kyann Maynard,11201730,West Indies,1988-04-05,Right-hand bat,Right-arm fast,474192
Vishmi Gunaratne,9505784,Sri Lanka,2005-08-22,Right-hand bat,,1290105
Linden Lawrence,11201751,West Indies,1988-10-05,Right-hand bat,,316157
Lee Stephen,11201736,West Indies,1975-10-29,Right-hand bat,,52999
